日期,收支类型,金额,类别,二级分类,账户,账本,退款,优惠,备注,标签,报销账户,报销金额,报销明细,多币种,地址,创建用户,其他,附件1,附件2,附件3,附件4,附件5
2026-04-06 18:33,支出,-11.00 ,饮食,,校园卡,日常账本,,,校园卡 账户余额补齐,周期生活,,,,,北京市海淀区清华园街道学堂路,,,,,,,
2026-04-06 18:13,支出,0.00 ,购物,,♑️银联,日常账本,106,,百米。（全3册）,消费,,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-04-06 17:39,支出,-7.00 ,课学,运动健身,交通银行,日常账本,,,清华大学,"游泳, 运动, 消费",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-04-06 12:08,支出,-15.00 ,饮食,,校园卡,日常账本,,,校园卡 账户余额补齐,"周期生活, 打抛猪",,,,,北京市海淀区清华园街道至善路,,,,,,,
2026-04-06 01:21,支出,-55.66 ,其他,平账,♑️银联,日常账本,,,♑️银联 账户余额补齐,波动生活,,,,,,,不计入收支、不计入预算,,,,,
2026-04-06 01:09,收入,0.03 ,其他,羊毛,建设银行,日常账本,,,,波动收入,,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-04-06 00:51,支出,-14.80 ,购物,体育用品,交通银行,日常账本,,,1.5kg×2,"哑铃, 消费, 运动, 黑",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-04-05 21:34,支出,-50.58 ,饮食,,校园卡,日常账本,,,校园卡 账户余额补齐,周期生活,,,,,,,,,,,,
2026-04-05 19:06,支出,-12.00 ,饮食,,校园卡,日常账本,,,校园卡 账户余额补齐,周期生活,,,,,北京市海淀区清华园街道荷清路,,,,,,,
2026-04-05 09:33,支出,-0.10 ,购物,日用品,♑️银联,日常账本,,,,"抽纸, 周期生活, 消耗品",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-04-05 09:26,支出,-19.71 ,购物,,♑️银联,日常账本,19.7,,【白色平板支架】稳固防滑 【12.9英寸内手机平板通用】,波动生活,,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-04-04 20:52,支出,-28.76 ,饮食,饮料零食,交通银行,日常账本,,,,"消费, 野人先生",,,,,北京市海淀区学院路街道成府路36号,,,,,,,
2026-04-04 16:05,支出,-19.90 ,饮食,,♑️银联,日常账本,,,,"皮蛋瘦肉粥, 周期生活, 曼玲粥铺",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-04-04 15:56,支出,-70.00 ,娱乐,电影,演出（音乐剧演唱会电影）,日常账本,,,,"我许可, 电影, 消费, 黑",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-04-04 07:38,支出,-0.41 ,购物,,🔵生活（小荷包）,日常账本,,,,"小刀, 周期生活",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-04-03 20:15,支出,-18.44 ,饮食,,♑️银联,日常账本,,0.92,打包费,"周期生活, 烤冷面",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-04-03 18:25,支出,-1.50 ,购物,,♑️银联,日常账本,,,,消费,,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-04-03 12:57,支出,-8.30 ,饮食,水果,♑️银联,日常账本,,,北京尧地农业科技发展有限公司,"周期生活, 消耗品",,,,,北京市海淀区清华园街道清华大学澜园商业区步行街,,,,,,,
2026-04-03 12:27,支出,-16.00 ,饮食,,校园卡,日常账本,,,校园卡 账户余额补齐,周期生活,,,,,北京市海淀区清华园街道清华大学澜园商业区步行街,,,,,,,
2026-04-03 09:46,收入,"8,000.00 ",其他,报销,建设银行,日常账本,,,,"正畸, 波动收入, 妈妈",,,,,北京市海淀区清华园街道学堂路,,,,,,,
2026-04-03 09:05,支出,-2.00 ,医疗,医院,♑️银联,日常账本,,,清华大学,"波动生活, 多囊",,,,,北京市海淀区清华园街道近春路,,,,,,,
2026-04-03 08:59,支出,"-1,000.00 ",医疗,医院,♑️银联,日常账本,,,清华大学,"波动生活, 正畸",,,,,北京市海淀区清华园街道近春路,,,,,,,
2026-04-03 08:29,支出,-30.00 ,医疗,医院,♑️银联,日常账本,,,清华大学,"波动生活, 正畸",,,,,北京市海淀区清华园街道近春路,,,,,,,
2026-04-02 22:30,支出,0.00 ,购物,,♑️银联,日常账本,0.32,,,波动生活,,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-04-02 10:45,收入,"1,500.00 ",收入,主业,中国银行1721,日常账本,,,,"王习术, 周期收入",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-04-02 10:45,收入,75.47 ,其他,报销,中国银行1721,日常账本,,,,"波动收入, 王习术",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-04-02 10:23,支出,-0.58 ,购物,,♑️银联,日常账本,,,,"牙线收纳盒, 波动生活",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-04-02 10:19,支出,-3.00 ,生活,水费,♑️银联,日常账本,,,华清捷利,"洗衣服, 周期生活, 白",,,,,,,,,,,,
2026-04-01 23:59,支出,-15.95 ,饮食,,校园卡,日常账本,,,校园卡 账户余额补齐,周期生活,,,,,,,,,,,,
2026-04-01 19:10,支出,-10.43 ,饮食,,校园卡,日常账本,,,校园卡 账户余额补齐,周期生活,,,,,北京市海淀区清华园街道荷清路,,,,,,,
2026-04-01 12:15,收入,"2,000.00 ",主业,生活费,中国银行1721,日常账本,,,,周期收入,,,,,北京市海淀区清华园街道学堂路,,,,,,,
2026-04-01 12:03,收入,0.22 ,副业,理财盈利,电子产品（ksc）,日常账本,,,,波动收入,,,,,北京市海淀区清华园街道学堂路,,,,,,,
2026-04-01 12:03,收入,0.07 ,副业,理财盈利,演出（音乐剧演唱会电影）,日常账本,,,,波动收入,,,,,北京市海淀区清华园街道学堂路,,,,,,,
2026-04-01 11:54,收入,1.60 ,其他,平账,♑️银联,日常账本,,,♑️银联 账户余额补齐,波动收入,,,,,,,,,,,,
2026-04-01 11:54,收入,0.04 ,收入,其他,建设银行,日常账本,,,,波动收入,,,,,北京市海淀区清华园街道学堂路,,,,,,,
2026-04-01 11:43,收入,2.14 ,其他,红包,微信钱包,日常账本,,,微信钱包 账户余额补齐,波动收入,,,,,,,,,,,,
2026-04-01 11:41,收入,560.00 ,收入,主业,中国银行1721,日常账本,,,,"周期收入, 北京低保, 国家低保",,,,,北京市海淀区清华园街道学堂路,,,,,,,
2026-04-01 08:55,支出,-3.33 ,购物,,♑️银联,日常账本,,,,"镜梳, 消费",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-04-01 00:02,支出,-29.00 ,生活,话费网费,流量卡,日常账本,,,,"话费, 周期生活, 白",,,,,,,,,,,,
2026-04-01 00:00,支出,-5.00 ,生活,话费网费,180电话卡,日常账本,,,,"话费, 周期生活, 白",,,,,,,,,,,,
2026-03-31 23:59,支出,-1.83 ,生活,水费,校园卡,日常账本,,,校园卡 账户余额补齐,"周期生活, 白",,,,,,,,,,,,
2026-03-31 18:44,支出,-32.40 ,饮食,,校园卡,日常账本,,,校园卡 账户余额补齐,周期生活,,,,,,,,,,,,
2026-03-31 07:37,支出,-0.10 ,购物,日用品,♑️银联,日常账本,,,,"抽纸, 周期生活, 消耗品",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-03-31 07:35,支出,-94.40 ,购物,护肤,♑️银联,日常账本,,,【人气爆款】保湿洁面300ml,"周期生活, 护肤, 消耗品, 洗面奶, 珂润",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-03-30 14:57,支出,-29.84 ,饮食,,♑️银联,日常账本,,0.56,京东购物,"周期生活, 塔可, 塔可钟",,,,,北京市海淀区东升(地区)镇荷清路,,,,,,,
2026-03-30 13:22,支出,-320.83 ,娱乐,游戏,♑️visa（港币）,日常账本,HK$15.7,17.61,3000点券。成长基金9.99刀=600点券=6800白金币,"代号鸢, 消费",,,,HK$ 362.4,北京市海淀区东升(地区)镇荷清路,,,,,,,
2026-03-30 10:21,支出,-17.90 ,购物,电子产品,♑️银联,日常账本,,,,hdmi转vga,王习术老师,17.9,"2026/04/02中国银行1721到账17.9
",,北京市海淀区东升(地区)镇荷清路,,,,,,,
2026-03-30 00:08,支出,-4.08 ,购物,日用品,♑️银联,日常账本,,,,"牙线, 周期生活, 消耗品",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-03-29 23:59,支出,-114.50 ,饮食,,建设银行,日常账本,,,,"26.3.29长城赏花, 周期生活, 吃好喝好",,,,,北京市海淀区东升(地区)镇荷清路,,,,,,,
2026-03-29 23:59,支出,-30.00 ,饮食,,建设银行,日常账本,,,,"达美乐, 周期生活, 26.3.29长城赏花",,,,,北京市海淀区清华园街道清华路,,,,,,,
2026-03-29 23:59,支出,-114.70 ,交通,,建设银行,日常账本,,,,"消费, 26.3.29长城赏花",,,,,北京市海淀区清华园街道清华路,,,,,,,
2026-03-29 15:45,支出,-6.75 ,娱乐,,建设银行,日常账本,,,,"德州扑克, 消费, 26.3.29长城赏花",,,,,北京市延庆区大庄科乡,,,,,,,
2026-03-29 00:09,支出,-16.00 ,医疗,保健,♑️银联,日常账本,,,,"黄芪, 养生茶, 周期生活, 消耗品",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-03-28 18:28,支出,-3.96 ,饮食,水果,♑️银联,日常账本,15.84,,净重5斤【彩箱】单果80mm以上,"周期生活, 消耗品, 耙耙柑",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-03-28 18:26,支出,-3.00 ,生活,水费,♑️银联,日常账本,,,华清捷利,"洗衣服, 周期生活, 白",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-03-28 18:25,支出,-9.11 ,购物,日用品,♑️银联,日常账本,,,*50,"洗衣凝珠, 奥妙, 周期生活, 消耗品",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-03-28 13:49,支出,-355.00 ,生活,会员,♑️银联,日常账本,,,,"claude, 周期生活, AI",,,,,北京市海淀区东升(地区)镇荷清路,,,,,,,
2026-03-28 10:41,支出,-75.00 ,购物,护肤,♑️银联,日常账本,,,,"珂润, 乳液, 周期生活, 护肤, 消耗品",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-03-28 10:19,支出,-0.30 ,购物,家具,交通银行,日常账本,,,,"发夹带, 消费",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-03-27 23:59,支出,-3.18 ,饮食,,校园卡,日常账本,,,校园卡 账户余额补齐,周期生活,,,,,,,,,,,,
2026-03-27 21:09,支出,-8.50 ,饮食,,校园卡,日常账本,,,,"周期生活, 烤冷面",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-03-27 15:24,支出,-22.00 ,饮食,饮料零食,交通银行,日常账本,,,订单金额,"外卖, 消费, 鲜芋仙",,,,,北京市海淀区燕园街道大城坊,,,,,,,
2026-03-27 13:49,支出,-25.40 ,饮食,饮料零食,交通银行,日常账本,,,有机桶酸奶1kg*1桶,"消费, 酸奶",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-03-27 12:34,支出,-19.95 ,购物,,♑️银联,日常账本,,,,"餐具, 波动生活",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-03-27 12:34,支出,-29.31 ,购物,,♑️银联,日常账本,,,,"手机壳, 消费",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-03-27 11:36,支出,-23.30 ,饮食,,♑️银联,日常账本,,,,"福万, 外卖, 打抛饭, 周期生活",,,,,北京市海淀区清华园街道学堂路,,,,,,,
2026-03-27 11:22,支出,-0.13 ,购物,穿戴,交通银行,日常账本,,,,"发夹, 消费",,,,,北京市海淀区清华园街道学堂路,,,,,,,
2026-03-26 19:41,收入,0.11 ,其他,红包,微信钱包,日常账本,,,foxar的红包,波动收入,,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-03-26 18:39,支出,-36.90 ,饮食,水果,♑️银联,日常账本,,,4盒大果【18-20mm】大果推荐 125g /盒【优质蓝莓 顺丰包邮】,"周期生活, 消耗品, 蓝莓",,,,,北京市海淀区清华园街道紫荆路,,,查看附件,,,,
2026-03-26 17:18,支出,-60.98 ,饮食,,校园卡,日常账本,,,校园卡 账户余额补齐,周期生活,,,,,,,,,,,,
2026-03-26 16:14,支出,-67.44 ,人际,,♑️银联,日常账本,,,,音响,王习术老师,67.44,"2026/04/02中国银行1721到账67.44
",,北京市海淀区清华园街道紫荆路,,不计入收支、不计入预算,,,,,
2026-03-26 14:15,支出,-4.92 ,生活,电费,建设银行,日常账本,,,,"共享充电宝, 周期生活, 白, 街电",,,,,北京市海淀区海淀街道中关村广场步行街22号,,,,,,,
2026-03-26 14:04,支出,-115.00 ,饮食,,♑️银联,日常账本,,,寿司郎北京中关村大融城店,"周期生活, 吃好喝好, 寿司郎",,,,,北京市海淀区海淀街道海淀大街8号201室,,,,,,,
2026-03-26 14:02,支出,-26.80 ,购物,,先用后付,日常账本,,,,"史努比, 消费",,,,,北京市海淀区海淀街道海淀大街8号201室,,,,,,,
2026-03-26 13:54,收入,1.43 ,其他,红包,微信钱包,日常账本,,,_-零重力-_的红包,波动收入,,,,,北京市海淀区海淀街道海淀大街8号201室,,,,,,,
2026-03-26 10:10,支出,-2.31 ,购物,,♑️银联,日常账本,,,,"勺子, 小方勺, 红, 消费",,,,,北京市海淀区东升(地区)镇荷清路,,,,,,,
2026-03-26 09:28,收入,"1,000.00 ",其他,报销,建设银行,日常账本,,,,"正畸, 波动收入",,,,,北京市海淀区清华园街道近春路,,,,,,,
2026-03-26 09:19,支出,-348.56 ,医疗,医院,♑️银联,日常账本,,,清华大学,"波动生活, 正畸, 采血",,,,,北京市海淀区清华园街道近春路,,,,,,,
2026-03-26 09:10,支出,-6.35 ,购物,穿戴,交通银行,日常账本,,,咖色花朵米菲一套16个装不含鞋,消费,,,,,北京市海淀区清华园街道近春路,,,,,,,
2026-03-26 08:53,支出,-2.00 ,医疗,医院,♑️银联,日常账本,,,清华大学,"波动生活, 妇科",,,,,北京市海淀区清华园街道近春路,,,,,,,
2026-03-26 08:47,支出,-2.00 ,医疗,医院,♑️银联,日常账本,,,清华大学,"波动生活, 正畸",,,,,北京市海淀区清华园街道近春路,,,,,,,
2026-03-26 08:42,支出,-30.00 ,医疗,医院,♑️银联,日常账本,,,清华大学,"波动生活, 正畸",,,,,北京市海淀区清华园街道近春路,,,,,,,
2026-03-25 12:27,支出,-5.99 ,购物,穿戴,交通银行,日常账本,,,,"鞋花, 消费",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-03-25 11:58,支出,-18.90 ,饮食,,♑️银联,日常账本,,,,"皮蛋瘦肉粥, 周期生活, 曼玲粥铺",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-03-24 23:59,支出,-7.72 ,其他,,天星🇨🇳,日常账本,,,,手续费,,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-03-24 14:05,收入,0.02 ,副业,理财盈利,东方财富,日常账本,,,,波动收入,,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-03-24 13:36,支出,-3.00 ,生活,水费,♑️银联,日常账本,,,华清捷利,"洗衣服, 周期生活, 白",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-03-24 10:48,收入,"2,744.82 ",收入,副业,工商银行,日常账本,,,赎回,波动收入,,,,,北京市海淀区清华园街道紫荆路,,不计入收支、不计入预算,,,,,
2026-03-24 00:12,支出,-9.50 ,医疗,买药,♑️银联,日常账本,,,,"多西环素分散片, 波动生活, 消耗品",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-03-23 23:59,支出,-2.01 ,医疗,买药,♑️银联,日常账本,,,,"米诺环素, 波动生活, 消耗品",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-03-23 15:53,支出,-20.00 ,饮食,,♑️银联,日常账本,,,,"双马, 咖喱, 周期生活, 黑",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-03-23 09:27,支出,-3.70 ,医疗,保健,♑️银联,日常账本,,,,"维生素a, 周期生活, 消耗品",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-03-22 23:59,支出,-1.50 ,交通,🚍,北京一卡通,日常账本,,,,"消费, 白",,,,,北京市海淀区清华园街道学堂路,,,,,,,
2026-03-22 17:37,支出,-17.90 ,饮食,饮料零食,众安消费🇨🇳,日常账本,,,,"笠夏, 消费",,,,,北京市朝阳区麦子店街道朝阳公园路6号院1,,,,,,,
2026-03-22 17:18,支出,-0.50 ,交通,🚍,北京一卡通,日常账本,,,,"消费, 白",,,,,北京市朝阳区麦子店街道亮马桥路50号,,,,,,,
2026-03-22 17:18,支出,-1.50 ,交通,🚍,北京一卡通,日常账本,,,,"消费, 白",,,,,北京市朝阳区麦子店街道亮马桥路50号,,,,,,,
2026-03-22 14:34,支出,-0.20 ,娱乐,景点,♑️银联,日常账本,,,双秀公园管理中心,消费,,,,,北京市西城区德胜街道新街口外大街2-1号,,,,,,,
2026-03-22 11:43,支出,-5.90 ,购物,家具,建设银行,日常账本,,,8L,"宜家, 收纳袋, 波动生活, 8L, 55*49*30",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-03-21 12:34,支出,-0.01 ,购物,,♑️银联,日常账本,,,,"晾鞋子, 波动生活",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-03-21 12:30,收入,0.14 ,副业,理财盈利,电子产品（ksc）,日常账本,,,,波动收入,,,,,清华大学,,,,,,,
2026-03-21 12:30,收入,0.05 ,副业,理财盈利,旅游（苏黎世）,日常账本,,,,波动收入,,,,,清华大学,,,,,,,
2026-03-21 11:40,收入,0.11 ,收入,副业,工商银行,日常账本,,,,波动收入,,,,,清华大学,,,,,,,
2026-03-21 11:40,收入,0.02 ,其他,羊毛,中国银行1721,日常账本,,,,波动收入,,,,,清华大学,,,,,,,
2026-03-20 23:59,收入,0.21 ,其他,羊毛,♑️visa🇺🇸,日常账本,,,,波动收入,,,,$ 0.03,北京市海淀区清华园街道紫荆路,,,,,,,
2026-03-20 23:59,收入,0.21 ,其他,羊毛,♑️visa🇺🇸,日常账本,,,,波动收入,,,,$ 0.03,北京市海淀区清华园街道紫荆路,,,,,,,
2026-03-20 17:20,支出,-17.73 ,饮食,,♑️银联,日常账本,,1.70,京东购物,"周期生活, 烤冷面",,,,,北京市海淀区清华园街道紫荆路,,,查看附件,,,,
2026-03-20 13:48,支出,-25.77 ,饮食,,校园卡,日常账本,,,校园卡 账户余额补齐,周期生活,,,,,,,,,,,,
2026-03-20 10:56,支出,-2.00 ,医疗,医院,♑️银联,日常账本,,,清华大学,"波动生活, 痤疮",,,,,北京市海淀区清华园街道学堂路,,,,,,,
2026-03-20 08:07,支出,-0.18 ,购物,,交通银行,日常账本,,,,"s钩, 消费",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-03-19 20:02,收入,0.06 ,其他,红包,微信钱包,日常账本,,,小理子～的红包,波动收入,,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-03-19 18:51,支出,-7.00 ,课学,运动健身,♑️银联,日常账本,,,清华大学,"游泳, 运动, 消费",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-03-19 16:10,支出,-15.47 ,饮食,,校园卡,日常账本,,,,周期生活,,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-03-19 13:24,支出,-3.00 ,生活,水费,♑️银联,日常账本,,,华清捷利,"洗衣服, 周期生活, 白",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-03-19 11:04,支出,-0.01 ,购物,,♑️银联,日常账本,,,,"鞋袋, 波动生活",,,,,北京市海淀区东升(地区)镇荷清路,,,,,,,
2026-03-19 09:48,支出,-10.90 ,饮食,饮料零食,交通银行,日常账本,,,luckin coffee,"瑞幸, 消费",,,,,北京市海淀区清华园街道学堂路,,,,,,,
2026-03-19 09:18,支出,-5.55 ,课学,运动健身,♑️银联,日常账本,,,清华大学,"游泳, 波动生活, 运动",,,,,北京市海淀区清华园街道近春路,,,,,,,
2026-03-19 09:06,支出,-2.00 ,医疗,医院,交通银行,日常账本,,,清华大学,"波动生活, 牙科",,,,,北京市海淀区清华园街道近春路,,,,,,,
2026-03-18 23:04,支出,-4.79 ,购物,,交通银行,日常账本,,,,"挂绳, 消费",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-03-18 19:47,支出,-10.00 ,饮食,,校园卡,日常账本,,,校园卡 账户余额补齐,"周期生活, 白, 紫荆园F4, 豆花米线",,,,,北京市海淀区东升(地区)镇荷清路,,,,,,,
2026-03-18 12:23,支出,-12.00 ,饮食,,校园卡,日常账本,,,校园卡 账户余额补齐,"周期生活, 白, 大竹肉丁面, 紫荆园F4",,,,,北京市海淀区清华园街道荷清路,,,,,,,
2026-03-18 08:23,支出,-2.00 ,医疗,医院,♑️银联,日常账本,,,清华大学,"多囊, 波动生活",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-03-18 07:53,支出,-19.20 ,医疗,买药,♑️银联,日常账本,,,,"布洛芬咀嚼片, 周期生活, 消耗品",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-03-18 07:53,支出,-0.01 ,购物,,♑️银联,日常账本,,,,"夹子, 消费",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
2026-03-17 21:46,支出,-15.00 ,购物,日用品,♑️银联,日常账本,,,×10【1.5/】,"自由点, 安睡裤, 周期生活, 消耗品",,,,,北京市海淀区清华园街道紫荆路,,,查看附件,,,,
2026-03-17 19:53,支出,-49.51 ,饮食,,校园卡,日常账本,,,校园卡 账户余额补齐,"周期生活, 白",,,,,,,,,,,,
2026-03-17 16:34,支出,-36.78 ,饮食,,众安生活🇨🇳,日常账本,,,订单金额,"外卖, 汉江里炸鸡, 周期生活",,,,,北京市海淀区东升(地区)镇荷清路,,,查看附件,,,,
2026-03-17 09:26,支出,-2.01 ,购物,,♑️银联,日常账本,,,,"平板支架, 波动生活",,,,,北京市海淀区清华园街道紫荆路,,,,,,,
